sku,asin,product_description,price
LG PC PN DE 3 14P GH VS1VS2 16 G,B0H2JK8KWX,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 3 Carat",1538.89
LG PC PN DE 3 14K GH VS1VS2 16 G,B0H2J3Z49C,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 3 Carat",1538.89
LG PC PN DE 3 14D GH VS1VS2 16 G,B0H2J3QX7C,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 3 Carat",1538.89
LG PC PN DE 3 PLT GH VS1VS2 16 G,B0H2J5Z1B3,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 3 Carat",1882.59
LG PC PN DE 4 14P GH VS1VS2 16 G,B0H2J3PF6D,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 4 Carat",2019.5
LG PC PN 4 14K GH VS1VS2 16 G,B0CJJVQSLT,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 4 Carat",1996.59
LG PC PN DE 4 14D GH VS1VS2 16 G-BB1,B0H2J15N86,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 4 Carat",1996.59
LG PC PN 4 PLT GH VS1VS2 16 G,B0CJJX1HWR,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 4 Carat",2340.29
LG PC PN DE 5 14P GH VS1VS2 16 G,B0H2J5QRYC,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 5 Carat",2290.45
LG PC PN DE 5 14K GH VS1VS2 16 G,B0H2J8J939,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 5 Carat",2267.53
LG PC PN DE 5 14D GH VS1VS2 16 G,B0H2JF3PHW,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 5 Carat",2267.53
LG PC PN DE 5 PLT GH VS1VS2 16 G,B0H2JMYBZT,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 5 Carat",2611.23
LG PC PN DE 5 14P GH VS1VS2 16 G 6Ct,B0H2J6CZW8,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Rose Gold 16"" Gold Chain 6 Carat",3025.32
LG PC PN DE 5 14K GH VS1VS2 16 G 6Ct,B0H2JDBY44,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K White Gold 16"" Gold Chain 6 Carat",3025.32
LG PC PN DE 5 14D GH VS1VS2 16 G 6Ct,B0H2J11BG1,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) 14K Yellow Gold 16"" Gold Chain 6 Carat",3025.32
LG PC PN DE 5 PLT GH VS1VS2 16 G 6Ct,B0H2J8HKLK,"Houston Diamond District 0.5 to 10 Carat IGI Certified LAB-GROWN Cross Diamond Pendant Necklace 4 Prong Value Collection (G-H Color VS1-VS2 Clarity) Platinum 16"" Gold Chain 6 Carat",3535.32
